content,Label Asli,Prediksi
Tolong untuk akun gopaylater cicil mending ada opsi login dari tokopedia saja jadi ga ribet Di aplikasi gojek malah di suruh daftar lagi ,Positif,Negatif
Memuaskan,Positif,Positif
Good job,Positif,Positif
Dapat membantu dalam kondisi apapun,Positif,Positif
Lebih simple,Positif,Positif
Aplikasinya suka ngelag,Negatif,Positif
Kok di semua resto tulisannya area resto lagi sepi driver Ya ini emang eror atau gimana sih,Negatif,Negatif
Azzam,Positif,Positif
Gojek makin gk jelas sekarang konsumen di beban kan dengan ongkos yg mahal tapi potongan ke driver jg gede dpt apa driver kalo bgtu n kembalikan kaya dulu sebelum gojek berubah nama jd gopatner ongkos gk terlalu mahal seperti sekarang dan potongan ke driver jg kecil pasti rame lagi orang yg mengunakan layanan gojek n apk driver ratting nya j makin buruk cuma 27 kalah sama apk serupa y karena driver pada mengeluh akhir nya memberikan ratting yg buruk ke apk yg membuat apk driver makin bobrok,Negatif,Negatif
Biasa saja,Negatif,Positif
Baik,Positif,Positif
Parah Saldo terpotong Tp ga masuk ke rekening Mana 800 ribu mana pertanggungjawaban pihak gojek uang segitu sangat berarti Asal buat laporan langsung di tutup mulu,Negatif,Negatif
Tolong beri vocer go mard,Positif,Positif
Saya gak bisa trasfer ke semua bank,Negatif,Negatif
is the best,Positif,Positif
B1 karena Gopay leter cicil sudah tidak keluar lagi dan gopay leternya tidak bisa di cicil jd malas pakai,Negatif,Negatif
  ,Positif,Positif
buruk sekali laporan masalah mengenai gopaylater cicil dri awal bulan smpai skrg tidak ada tindak lanjutnya mana solusinya jawabnya trus2an pngecekan,Negatif,Negatif
Mantaaff,Positif,Positif
Ok,Positif,Positif
Makasih Sering membantu,Positif,Positif
bagus,Positif,Positif
Mantap,Positif,Positif
Sangat baik,Positif,Positif
Mantap,Positif,Positif
Top,Positif,Positif
Nyaman ajhh dengan aplikasi GOJEKnya,Positif,Positif
Apk ga berguna,Negatif,Positif
Pesan apapun jadi mudah,Positif,Positif
Jos,Positif,Positif
Ok,Positif,Positif
Gopaylater membantu sekali,Positif,Positif
Aplikasi banyak fiturfitur lengkap dan mudah digunakan Tapi masih ada castumer yang belum paham menggunakan aplikasi yang sesuai dengan prosedurnya,Positif,Positif
Dari hari Minggu mengirim uang menungguhari Selasa laporan suksestapi belum masuk di penerimanya,Negatif,Negatif
Coba dulu,Netral,Positif
Aplikasi canggih Mudah order gak pake ribet,Positif,Positif
Aplikasi nya sangat memuaskan dan membantu saya memudahkan saya untuk bepergian kemana saja dan juga sangat bisa diandalkan sekali,Positif,Positif
Banyak penurunan disamping harganya yg mahal  sekarang tambah ribet sama2 harga segitu mending ojek pengkolan Apalagi di aplikasi akan mencariakn driver terdekat e la kok malah nyantolnya driver yg jauh yg harus menunggu bermenit2 driver nya ga nyampe2 ke lokasi yaudah cancle aja ga jadi gojek ,Negatif,Negatif
excellent,Positif,Positif
Aplikasi baru makin ga beres masa ga bisa top up ke gopay ga jelas,Negatif,Negatif
Hallo gojek Tolong evaluasi para driver nya dong Pesen gofood 4x D tempat yg beda ga bsa semua Dengan alasan tidak ada driver Pdhal saya pesen nya D tempat rame bukan dihutan ya,Negatif,Negatif
makasih abangbapak yg selalu nganterin saya pulang sekolah,Positif,Positif
Gimana ini lokasi tujuan dan penjemputan pada hilang saya sedang buru2 tapi lokasi tidak muncul,Negatif,Negatif
tiba tiba gak pernah dapat voucher goofood gak jelas apk nya sekarang,Negatif,Negatif
Pelayanan cepat tepat dan baik Trims,Positif,Positif
Oke banget Kak,Positif,Positif
Baik,Positif,Positif
sudah lebih baik,Positif,Positif
Ok,Positif,Positif
  ,Negatif,Positif
Untuk gopay gampang sekali ke blokir tolong untuk di sama kan seperti danaovo yang susah untuk ke blokir,Negatif,Negatif
Sgt membantu,Positif,Positif
Lumayan ngebantu,Positif,Positif
Mantap,Positif,Positif
Mantap cs cepat tabgap,Positif,Positif
Sangat membantu Tapi utk di daerah saya peta dan alamat lokasi sering gak ada dan gak sinkron Golong diperbaiki,Positif,Positif
Bagus banget harganya murah lagi tapi kalau jauh ya murah opsional,Positif,Positif
Mantap,Positif,Positif
Paling aman paling gampang n drivernya pada ramah,Positif,Positif
Mantap,Positif,Positif
Sangat membantu buat ibu2 rumah tangga,Positif,Positif
Ok bnget,Positif,Positif
G ada ktp g ada paspor g bisa tf gopay,Positif,Negatif
cocok bgt,Positif,Positif
Aplikasinya kadang eror min udah dpt driver udh dichat pula bisa berubah hrs pesan dr awal dan dpt driver yg berbeda Tolong jga min seringnya tiap hujan susah bngt cari driver udh berkali kali coba ttp driver sibuk Tp tiap cuaca baik cepat dpt driver,Netral,Negatif
Mantap banyak free nya,Positif,Positif
Selalu tepat dan nyaman,Positif,Positif
Tolol gw mau top up aj ga bisa gw bayar tolol,Negatif,Negatif
Tetap juga ga berubah masih dapat driver nya yang jauh Tolong lah gojek dibuat radius gobiz nya tu maksimal 1Km supaya drivernya ga jauh2 jemput orderan nya soalnya terlalu lama kami sebagai customer menunggu pesanan nya,Negatif,Negatif
Ok,Positif,Positif
Nanti saya akan coba Aplikasi ini gojek,Netral,Negatif
Oke lah,Positif,Positif
Gojek sangat membatu sy,Positif,Positif
Ayo sering kasih voucher donk Kita sering pakai gosend nih min,Positif,Positif
Bagus,Positif,Positif
Cakep,Positif,Positif
Bersyukur ada layanan ojeg online ga perlu berlelahd antar sampai tujuan dgn aman good luck gojeg good luck para drivernya smoga sllu dalam lindungan dan keberkahan dari Allah SWT,Positif,Positif
Cukup membantu Tks,Positif,Positif
Keren,Positif,Positif
Setiap mau pesen ngak ada driver padahal setiap beli ke tempat driver pada ngantri sesad ni apk,Negatif,Negatif
Good,Positif,Positif
Keren,Positif,Positif
Driver baik banget dan sopan ramah lagi,Positif,Positif
Susah pesan gocarpayah,Negatif,Negatif
Terima kasih dengan gojek semua aman dan mudah,Positif,Positif
Sangat bagus,Positif,Positif
Cool,Positif,Positif
Jos,Positif,Positif
segalanya jadi mudah,Positif,Positif
Gojeg sangat membantu dlm transportasi,Positif,Positif
Good,Positif,Positif
Selalu ada disaat butuh Eaakk,Positif,Positif
Sangat membantu,Positif,Positif
Bagus Sangat membantu,Positif,Positif
Ini gimana cara pesannya saya sudah mencoba memesan makanantpi setelah pesanan yg datang malah bukan yang saya pesan yang sampai malah pesanan yg laintolong di tingkatkan lagi agar bisa lebih sesuai orderan,Negatif,Negatif
Good,Positif,Positif
Segalanya jd Mudah,Positif,Positif
Updatean bukan nya makin membaik mAlah makin buruk ,Netral,Negatif
Memudahkan semua perjalanan,Positif,Positif
Bagus,Positif,Positif
Aplikasi yang sangat membantu pengguna,Positif,Positif
Sangat mmbntu,Positif,Positif
Sangat bermanfaat ,Positif,Positif
Ok dah gojek emang kerenn,Positif,Positif
bad management,Negatif,Positif
Oke,Positif,Positif
Aku kasih bintang 4dl sblm ktp aku bs di perbaharui akibat masih tertaut di akun yg udh gak kepake,Positif,Negatif
Ok siap,Positif,Positif
Tolong dong aplikasi tranfer antar banknya di update saya tinggal di aceh banknya sdah jadi BSI semua mau transfer uang tidak bisa karna tidak ada pilihan karena sebelumnya sangat membantu saya dalam melakukan tf antar bank terimakash,Positif,Negatif
apasi butut bgt nyari driver aya lama bgttt  pdhl lagi buru buru dan butuh bgt aduh,Netral,Negatif
top,Positif,Positif
Bintang 1 untuk manusia yang melegalkan seks bebas biar bangkut gojek,Negatif,Negatif
Good,Positif,Positif
Mantap paket lengkap,Positif,Positif
Aplikasi sampah ram 6 GB suka tidak respon aplikasi saya diinstal sedikit padahal cache udah dikosonginINTERNETPUN SANGAT LANCAR saya coba nonton YOUTUBE kualitas 1080 itu LANCAR TAPI APKNYA masih tetap begitu  Katanya pegawainya pengalaman 50tahun masih muda dan IPK 1000 tapi order kang jek sering eror jadi mempersulit untuk komunikasi kang ojek saat menentukan lokasi penjemputan Update dong bisanya tapi tidak berguna dan ngaruh sama sekali,Negatif,Negatif
Bersama kuli membangun bangsa ,Positif,Positif
Kalau hujan sulit sekali mencari driver Biasanya langsung tercancel Padahal apps harus nya ada utk membantu di saat2 urgent begitu Jadi terpaksa pakai grfd deh Walaupun lama masih ada driver yg ambil,Netral,Negatif
Makin baik fiturnyahanya kadang lama aplikasinya  bisa mungkin karena sinyalnya karena baru saat hujan ,Positif,Positif
pesen gomart produk kosong ga bisa dicancel driver bodo amat gimana ini,Negatif,Negatif
Tanks gojek  Teman yg penting dlm kondisi ppkm gini Kemana2 jadi mudah,Positif,Positif
Oke,Positif,Positif
Bagzs,Positif,Positif
Good,Positif,Positif
Ok,Positif,Positif
mantap,Positif,Positif
Mantapp,Negatif,Positif
Modul Gofoofnya di Perbaiki,Negatif,Negatif
Kacau nihh gojek aplikasinya,Negatif,Negatif
Tolong gojek di perbaikigofood nya makin kesini makin banyak yg malak parkir padahal jelas di resto ga ada parkir udh banyak biaya tambahan di tambah banyak bohong soal parkir mending kalo emg ada parkir driver lngsung ambil di gopay aja tapi harus ada bukti parkir biar banyak yg ga bohong soal parkir bukan krna uang nya min saya termasuk yg suka kasih tips tapi klo driver ga jujur saya juga malas apalagi ganggu nunggu uang parkir baru taro makanan,Negatif,Negatif
Mantap,Positif,Positif
Nicee,Positif,Positif
Mantapsangat terbantu,Positif,Positif
knp si tulisan ny layanan google play di perbarui muluniat bikin app ga si,Negatif,Negatif
Maaf mau nanya kalau dulu i bs pesan gojek walaupun beda kota u anakku skrg knpa ngak bs ysptri i posisi dimalang n anakku di depok nah i pesankan gojek dr malang u lokasi depok knp ngal bs ypdhal duli bs lohkrn u gofood aja bs i pesan di lokasi depok sdgkan i di malang tlg infox mksh,Positif,Negatif
Mantap,Positif,Positif
Mantapp,Positif,Positif
Mau transfer jadi susah harus pake gopay plus dlu pas udah daftar gopay plus tetep ga bisa karena id sudah terpakai kapan saya daftarnya jadi susah untuk transfer,Negatif,Negatif
Promo ga bisa di combo lagi untuk apa di kasih bromo 30,Negatif,Negatif
Slalu eror ga jelas,Negatif,Negatif
buka baju w a Cvda,Netral,Positif
Gojek sangat membantu saya di masa sulit bearish market dunia ini terutama gofood yg selalu banyak flash sale diskon Saya tidak akan melupakan kebaikan gojek Terima kasih gojek,Positif,Positif
Murmer dan driver nya ramah banget,Positif,Positif
Sementara aku kasi bintang 3 soalnya aku mau berangkat ke sekolah pagi dapet gojek yang jauh seharusnya kalo kita kirim lokasi ke sekolah itu dapet nya yang deket udah gitu di tambah nunggu gojek nya dateng ,Netral,Netral
Mantap,Positif,Positif
Luar biasa  moga bisa sukses selalu disini,Positif,Positif
memudahkan untuk memesan perjalanan dan pemesanan makanan sering banyak promo,Positif,Positif
Aplikasi makin mantap banyak cuan lagi bisa untuk bayar apa aja lewat scan maupun transfermantap ,Positif,Positif
Lebih memudahkan saya ,Positif,Positif
Tambahin vocer nya,Positif,Positif
Sangat bagus mudah,Positif,Positif
Driver tidak sopan,Negatif,Positif
Good,Positif,Positif
Oke,Positif,Positif
alhamdulillah ketemu orang yg baik trimakasih,Positif,Positif
Proses transfer sangat lambatsaldo sudah berkurang tapi belum masuk ke rekening tujuan,Negatif,Negatif
Pelayanan Bagus,Positif,Positif
Mantap,Positif,Positif
Sangat membantu dalam segala kegiatan,Positif,Positif
Ok,Positif,Positif
Gojek asu ga bisa log,Negatif,Negatif
Sangat membatu kalau jalan jauh bagi saya yg ga bisa bawa kendaraan sendiri,Positif,Positif
Penjemputan sesuai titik dan pengemudi ya ramah,Positif,Positif
Memang gojek bener bener good tgl tua dompet nipis eh ada discount besar dari goride dan akhirnya bisa pergi kerja dan yg paling bikin aku suka dari gojek adalah fitur paylaternya yg bisa dipakai utk byr apa saja semua jadi mudah Mudahn kedepannya ada jg fitur gopinjam yaa  utk pengguna setianya Tks gojek yg selalu ada selalu bisa,Positif,Positif
Memudahkan saya saat ingin belanja tanpa harus keluar rumah,Positif,Positif
Pesen gofood gabisa d cancle padahal sy ga sengaja klik pesan telfon cs csnya kayak yg lepas tanggung jawab gt cuman buang  pulsa aja kecewa pake banget lah,Netral,Negatif
Sangat memuaskan aplikasih ini,Positif,Positif
Good,Positif,Positif
App yg sangat baik  cepat respon jg pelayanan nya trimakasih,Positif,Positif
Eorror terus gabisa di buka,Negatif,Negatif
The Professional Worker,Positif,Positif
Ok,Positif,Positif
Saya disini sebagai driver sekaligus sebagai custemer gojekjadi saya tau dan merasakan bagaimana lamanya nunggu makananorang pesen gofood biar bisa makan nyaman cepat tanpa repot harus antri diresto belum dijalan pasti ada kendala macetbagus2 kalou restonya ngerti dan langsung dibuatkanini kalo harus nunggu driver datang dulu kan makan waktu lagiapalagi jam makan siang atou jam 567 itu pasti resto sibuk semuajadi tolonglah systemnya diubah lagiada batasan driver keresto maximal 2 kilo,Netral,Negatif
Bermanfaat,Positif,Positif
cool,Positif,Positif
Gak jelas sekatang aplikasi nya,Negatif,Negatif
Mantaaaabb ,Positif,Positif
Bagus bangat aplikasinya,Positif,Positif
Woimantap woisukses,Positif,Positif
Good,Positif,Positif
Selama menjadi pengguna aplikasi Gojek saya merasa nyaman suka dan terbantu tetapi terakhir akhir ini saya merasa gak nyaman dengan notif aplikasi gojek pinjaman paylater maaf sekalisaya sangat tidak nyaman kadang takut gak sengaja menyentuh aplikasi aktifkan paylater secara layar handphone sangat sensitif sentuhan dan ini bukan karangan atau akal akalan sayasaya lebih senang dapat notif voucher promo penunjang aplikasi gojek ke aplikasi yang lain contoh ke tokopedia alfamart dll,Positif,Negatif
Mantap,Positif,Positif
Mantap,Positif,Positif
Banyak customer yg complaint dg protektornya krn sangat menggangu Apalagi katanya tdk bisa memeluk drivernya ,Negatif,Negatif
Sangat memuaskan,Positif,Positif
Mantap,Positif,Positif
Menyenangkan,Positif,Positif
Transfer pake gopay dan nyangkut minta bantuan cs juga tidak berguna,Negatif,Negatif
Ok,Positif,Positif
ok,Positif,Positif
Voucher gofood nya masa cuma dpt dr goclub ,Positif,Negatif
Aplikasinya bagus sangat membantu,Positif,Positif
Saya mau tutup akun kenapa selalu gak bisa Tolong kerja sama nya,Negatif,Negatif
always pake gojek,Positif,Positif
Keren sangat membatu dan semoga promo nya d banyakin lagi yaa,Positif,Positif
Puas,Positif,Positif
Mahal cokk,Negatif,Negatif
cepat respon nya,Positif,Positif
Susah naikin limit go pay later padahal g pernah telat bayar tagihannya hhmmmm,Negatif,Negatif
Nyesel gua terlalu baik sama ojol  di saat gua pake ojol gua selalu kasih bonus setiap hari  dan disaat gua nyoba usaha dan pake gobiz  yang Dateng buat jemput makanan gua  selalu ga sabar di kasih waktu dalam aplikasi 15 menit  yg menit udah datang dan ga sabar bngt sampe ada yang marah2 wkwk gua mls baik sama ojol lagi,Negatif,Negatif
Mantap,Positif,Positif
Semakin kesini semakin gak jelas arah gojek mau kemana driver sulit dan promo gak jelas plus tarif kebanyakan biaya gak jelas,Negatif,Negatif
Pencarian alamat sangat sulit di deteksiselalu tidak terbaca,Negatif,Negatif
Kecewa sih parahmasa mau transfer gopay ke gopay aja gak bisa padahal udah ikutin semua caranya,Netral,Negatif
Driver ramah,Positif,Positif
Makasih banget buat fitur go transitnyaaaaa ,Positif,Positif
Mantap,Positif,Positif
Tengkiu GoJek Selalu membantu di saat perlu ,Positif,Positif
Sangat baik  banyak diskon,Positif,Positif
Senang pakai aplikasi ini kalo ada diskon Go Food 30 atau kalo lebih,Positif,Positif
Terbaik,Positif,Positif
Mantul,Positif,Positif
Sudah beberapa hari ini sangat sulit membuka aplikasi gojek,Negatif,Positif
Sangat membantu Terus berkembang dan tambah fitur2 menarik,Positif,Positif
Harganya makin mahal Pesen makanan 2 harga 30 ribu bayarnya 70 ribu Dibandingkan datang sendiri belanja sendiri lebih murah belanja sendiri Ongkir 40k buat apa sih Bahkan beli bensin full pake uang 40k masih banyak kembaliannya,Negatif,Negatif
Gopaylater kaga dipake sebulan langsung maen blokir aja Heran padahal kaga ada tagihan apapun Katanya krn belum memenuhi syarat Preeetttt,Negatif,Negatif
Driver oke dan ramah tamah,Positif,Positif
Good,Positif,Positif
Maf kenapa setelah diupdate versi terbaru malah jadi makin lemot parah saat memesan gojek khusunya gocar gak pernah dapatdapat muter aja tapi pas restart ulang hp trus masuk aplikasi tiba2 dapat driverdi chatdi tlepon ga da respon ga ketahuan apakah driver ambil orderam qta ato gak nyacancel juga gak bisa direstart lg hp nya tiba2 beluk pesan dapat driver orderan baru yg lokasinya jauh banget sambik masih anter penumpang sebelumnya waktu penjemputan pun gak bernah berubah 1 jam,Negatif,Negatif
Wis pokoke jozzzzzrekkkk,Positif,Positif
Praktisgak pakai parkir,Positif,Negatif
Baik,Positif,Positif
Jempol,Positif,Positif
Keren,Positif,Positif
Promo sedikit dikit2 minta update aplikasi teeeeee,Negatif,Negatif
Sng dan sngt mmbntuad ny gojek Indonesia,Positif,Positif
Bagus,Positif,Positif
bagus,Positif,Positif
Ok punya,Positif,Positif
Kerenn,Positif,Positif
Mantap,Positif,Positif
Bagus,Positif,Positif
Gojek saat di order datang cepat banget pokoknya mantap ,Positif,Positif
Setelah di update makin kek sampah,Negatif,Negatif
Sudah lama pakai gojek tapi tidak ada tawaran paylaternya,Negatif,Negatif
Respon cepet Ok laaaahhh,Positif,Positif
Driver yang ramah ramah,Positif,Positif
5 gopay gw dh keblok 300,Positif,Negatif
Mudah  murah,Positif,Positif
Nyaman,Positif,Positif
Baguss bgt sangat membantu,Positif,Positif
Saya penguna akun sudah puluhan tahunSaya merasa di curangi sudah saya lunasi semua gopay pinjam giliran mau pinjam malah di tolak mentah mentah semoga kalian binasa dari muka bumi ini Aplikasi gojek riba jadi aplikasi riba,Negatif,Negatif
Okee,Positif,Positif
kualitas bagus tingkatkan terus Gojek tks,Positif,Positif
Biaya tambah mahal,Negatif,Negatif
Bagus,Positif,Positif
jelas2 ppn nya sngt mahal utk satu pesanan gofood saja enth apalah yg di potong smpai 25 ribuansmntra hrg mkanan cma 25 ribu,Negatif,Negatif
Sangat membantu,Positif,Positif
Paylater nya pilih kasih,Negatif,Negatif
Woewmw login masuk aja ga bisa masih ada kendala ini udh 2 hari lohpdhl aplikasi mw dipake semoga cepat diberikan update biar bisa dipake lagi Nanti bintang bisa berubah kok,Negatif,Negatif
terbaik,Positif,Positif
Promo yang sangat membantu anak kuliah,Positif,Positif
APLIKASI PEPEK DRIVER DISURU BELI NASI AJA GA BISA ANJENG,Negatif,Negatif
Tolong banyakin diskon,Positif,Positif
Sangat membantu,Positif,Positif
Mantap,Positif,Positif
tingkatkan dan pertahankan terus,Positif,Positif
Nyaman,Positif,Positif
Aplikasinya sih bagus tapi kadang kadang voucer yang kita pakai ngak bisa kepai tolong dong diperbaiki,Positif,Positif
Sangat membantu,Positif,Positif
pelayanan oke,Positif,Positif
Sangat baik,Positif,Positif
Pengetahuan Customer care nya dangkal,Negatif,Negatif
Always good,Positif,Positif
OKE,Positif,Positif
Goood,Positif,Positif
Joooossssss,Positif,Positif
Nyaman,Positif,Positif
Mantap,Positif,Positif
Sangat membantu sekali,Positif,Positif
Mantaap,Positif,Positif
Nice ,Positif,Positif
Saya kesulitan mau bayar tagihan PDAM Padahal sudah seringkali pakai apl ini untuk bayar tagihan Tapi sekarang saya kesulitan Padahal saya tidak ganti hp ataupun nomor baru Tp ada pemberitahuan bahwa saya login pakai alat baru Dan kode otp tidak pernah saya terima Note  jaringan internet saya bagus Jadi tidak ada alasan bahwa terkendala jaringan Saya sudah coba berulang kali tetap kode otp tidak pernah saya terima,Negatif,Negatif
Terima Kasih Gojek Sukses Selalu,Positif,Positif
Makin mahal pesan gofood ada biaya apilasi ongkir yg mahal,Negatif,Negatif
Drivernya ramah pilih jalur mantap Pelayanannya sangat memuaskan,Positif,Positif
Ok,Positif,Positif
Jadi pilihan utama disaat tidak ada kendaraan di rumah Atau lagi malas keluar utk beli makanan Sangat membantu sekali ,Positif,Positif
Lebih santai dan nyaman,Positif,Positif
Good,Positif,Positif
Aplikasi keren sangat sangat membantu kaum2 mageran ,Positif,Positif
kenapa ongkirnya naik kayak sembako aja udah malas jadinya munggunakan jasanya,Negatif,Negatif
Siip,Positif,Positif
Mantap,Positif,Positif
Ok,Positif,Positif
nggak bisa kebuka aplikasinya,Negatif,Negatif
Saya kecewa dengan pelayanan yang diberilan oleh drivernya galak gak beratitude baik semoga admin mendengar ini yang terakhir paling bikin saya gak enak adalah ciri drivernya motor beat warna putih badan berisi berkumis hitam tebal kulit hitam,Negatif,Negatif
Mantap,Positif,Positif
Wah thebest ini mah,Positif,Positif
Buka aplikasi gojek selalu gak bisa,Negatif,Negatif
Mantraaap berkarya terusdan pin alamat nya bisa lebih tepat,Positif,Positif
Saya pesan gofood pas pesanan di antar di batalkan sama drivernyabisa begitu ya,Negatif,Negatif
Ramah,Positif,Positif
Wah keseringan verifikasi dalam waktu singkatsilahkan coba lagi nanti annoying ya bikin emosi juga trs bukannya cepat verifikasinya 24x1 jam oi  itupun kalau berhasil kalau gak ya ulang lagi jadi memperlambat transaksi,Negatif,Negatif
Sangat baik,Positif,Positif
Siip,Positif,Positif
Aplikasi terbaik luar biasa sukses terus,Positif,Positif
Cok gatau lagi tempat tinggal gw gada gopuddd,Negatif,Negatif
Layanan bagus cuman saya mau beli paket Di My Axis tidak bisa menggunakan Coin copay harus pake saldo Gojek,Netral,Negatif
Saya kasih bintang 1 Saya sudah bayar tagihan gopaylater beserta denda perhari nya Tapi saya masih sering mendapat telpon spam dari penagih utang gopaylater Saya mohon kepada gojek untuk memperhatikan keluhan yang seperti ini Terima kasih gojek,Negatif,Negatif
Ka tolong bantu caranya masuk akun lama tapi nomer sudah gak aktif,Netral,Positif
Top,Positif,Positif
Ok,Positif,Positif
Mantap,Positif,Positif
ribet bgt pas mau ngirim uang ke temen tulisanya disuru update pas udh diliatin di play store ga update,Negatif,Negatif
Bagus,Positif,Positif
Di aplikasi gobiz resto saya selalu buka 24 jam barusan ngecek ke aplikasi gojeknya kok resto saya tutup Gbisa terima orderan  Pantes gda yang order padahal udah di update semua,Negatif,Negatif
Sangat tidak membantu mau order makanan di manaana diver sepih dalam kota tp pelayanan kaya di hutan belantara susah dapat driverengecewakan,Negatif,Negatif
mantap,Positif,Positif
Alhamdulillahmempermudah perjalanan  apalagi kalau selalu di adakan discoun penumpang lebih menyenangkan,Positif,Positif
Sayang sekali saldo hilang d aplikasi gopay dkirim barcode dana dan saldo tidak terkirim sampai skrg dan pelayanan sangat buruk minim respon,Negatif,Negatif
Kalo ada bintang 0 pasti saya kasih  PDahal sdah lama saya pakai gojek tapi kemarin gopay saya diblokir tidak bisa transfer sesama gopay hanya bisa lewat bank saja dengan alasan ada aktivitas mencurigakan seharusnya hal yang mencurigakan itu diberitahu ke saya hal apamakin males jadi nya pakai gojek mau di hapus aj sekalian nyesal saya pakai gojek,Negatif,Negatif
Nyaman dengan driver gojeknya,Positif,Positif
Masih mengganjal transaksi tgl 20 Maret 2023 top up 100rb pembelian koin top up wesing 69500 kok hilang semuanya terpotong 100rb,Netral,Negatif
Ok,Positif,Positif
Apk gajelas disuruh update beta mulu saldo gw jdi ilang bnyk,Negatif,Negatif
Ok,Positif,Positif
Menyenangkan,Positif,Positif
Ok,Positif,Positif
Sangat membantu,Positif,Positif
jadi mudah untuk bepergian walau pun tak tau jalan,Positif,Positif
Pelayanan Ok ,Positif,Positif
Memudahkan urusan sy,Positif,Positif
Recommended,Positif,Positif
TUTUP AJA GOFOOD KALO SEKIRANYA GOJEKNYA GAK STAY ORDER  GAK GUNA TOKONYA BUKA DRIVERNYA KAGA ADA,Negatif,Negatif
Makasih gojek,Positif,Positif
Bagus,Positif,Positif
Alamat kalau pilih lewat peta suka eror nama alamatnya Driver jg kalo ngambil orderan jg lama kebanyakan nongkrong Driver jg sering ga mau gerak biar kita yg cancel,Negatif,Negatif
Mayan lah,Positif,Positif
Bagus,Positif,Positif
Bagus,Positif,Positif
Minta update pas update ngak bisa Udah di unintall pas di install ulang malah ngak mau,Negatif,Negatif
Bagus,Positif,Positif
Udah lama pake akun ini tbtb akun d bekuin tanpa sebab pdhl selama ini pakai bener,Negatif,Negatif
Aaahhh Sumpah demi Apaaa pun makasih sebesarnya buat GOJEK  banyak x diskon di gofood ku kalau ada bintang lebih dari 5 pun ku kasih full THANKS GOJEK,Positif,Positif
Nggak terkirim2 kodenya mana ada uangnya 220000 udah bikin pin malah nggak bisa bisa kode nya nggak ada nomkr juga aktif padahal Gimana sih,Negatif,Negatif
Udah top up 2x gak masuk hadeh,Negatif,Negatif
Ok,Positif,Positif
Bagus,Positif,Positif
Sae pisan,Positif,Positif
Mantap,Positif,Positif
